Unnamed: 0,County,Neighborhood,Room,Saloon,m2,Price,latitude,longitude
872,Keçiören,Yayla Mahallesi,3.0,1,140,24000,39.9920925,32.8292426
873,Keçiören,Etlik Mahallesi,3.0,1,140,31000,39.9799604,32.8284002
874,Çankaya,Harbiye Mahallesi,1.0,1,85,20000,39.8909554,32.838563
875,Mamak,Türközü Mahallesi,1.0,0,58,35750,39.9119824,32.8873719
876,Çankaya,Bahçelievler Mahallesi,3.0,1,135,50000,39.9278078,32.8264893
877,Pursaklar,Saray Fatih Mahallesi,3.0,1,160,32000,40.0786967,32.9204739
878,Çubuk,Esenboğa Merkez Mahallesi,1.0,1,60,15500,,
879,Çankaya,Mustafa Kemal Mahallesi,1.0,1,75,55000,39.9103992,32.7680457
880,Gölbaşı,Kızılcaşar Mahallesi,2.0,1,120,31000,39.8227276,32.732967
881,Keçiören,Basınevleri Mahallesi,5.0,1,280,30000,39.9696497,32.8531202
882,Keçiören,Ayvalı Mahallesi,3.0,1,120,23000,39.9833642,32.8182536
883,Çankaya,Kültür Mahallesi,3.0,1,145,31500,39.918059,32.8608941
884,Beypazarı,Başağaç Mahallesi,3.5,1,150,26000,40.1474991,31.907131
885,Keçiören,Kuşcağız Mahallesi,2.0,1,95,15500,39.9946817,32.8518525
886,Keçiören,Karargahtepe Mahallesi,4.0,1,190,29000,39.97121,32.8607382
887,Çankaya,Kavaklıdere Mahallesi,3.0,1,120,37500,39.9133494,32.8578531
888,Yenimahalle,İnönü Mahallesi,3.0,1,150,30000,39.9533428,32.7219775
889,Gölbaşı,Eymir Mahallesi,2.0,1,85,21250,39.7977398,32.838659
890,Sincan,Andiçen Mahallesi,3.0,1,120,19500,39.9535468,32.5841885
891,Sincan,Menderes Mahallesi,3.0,1,130,32000,40.0053079,32.5305332
892,Yenimahalle,Çiğdemtepe Mahallesi,3.0,1,125,20000,39.9929077,32.7934763
893,Polatlı,Mehmet Akif Mahallesi,2.0,1,100,17000,39.5945776,32.1430935
894,Mamak,Hüseyingazi Mahallesi,3.0,1,115,20500,39.9328255,32.9125214
895,Mamak,Kartaltepe Mahallesi,3.0,1,130,25000,39.9278772,32.9017516
896,Sincan,Alcı Mahallesi,3.0,1,145,13000,,
