,County,Neighborhood,Room,Saloon,m2,Price
423,Polatlı,Fatih Mahallesi,3.0,1,140,19000
424,Mamak,General Zeki Doğan Mahallesi,2.0,1,95,18000
425,Çankaya,Korkutreis Mahallesi,2.0,1,95,31000
426,Etimesgut,Ahi Mesut Mahallesi,3.0,1,130,35000
427,Çankaya,Büyükesat Mahallesi,3.0,1,135,37000
428,Etimesgut,Şehit Osman Avcı Mahallesi,1.0,1,50,18000
429,Keçiören,Kanuni Mahallesi,3.0,1,130,30000
430,Akyurt,Yeşiltepe Mahallesi,2.0,1,110,15500
431,Keçiören,Ayvalı Mahallesi,5.0,1,220,32500
432,Yenimahalle,Mehmet Akif Ersoy Mahallesi,1.0,1,58,35000
433,Keçiören,Yayla Mahallesi,3.0,1,120,29500
434,Sincan,Selçuklu Mahallesi,2.0,1,103,16000
435,Sincan,Mareşal Çakmak Mahallesi,3.0,1,126,16000
436,Altındağ,Gültepe Mahallesi,2.0,1,110,19500
437,Çankaya,Metin Akkuş Mahallesi,3.0,1,135,46000
438,Keçiören,Yayla Mahallesi,2.0,1,110,21000
439,Çankaya,Öveçler Mahallesi,3.0,1,110,31500
440,Çankaya,Maltepe Mahallesi,2.0,1,85,32000
441,Sincan,Selçuklu Mahallesi,3.0,1,120,21500
442,Çankaya,Remzi Oğuz Arık Mahallesi,3.0,1,120,35000
443,Yenimahalle,Gazi Mahallesi,2.0,1,55,41000
444,Yenimahalle,Gazi Mahallesi,1.0,1,43,32000
445,Çankaya,Yücetepe Mahallesi,1.0,1,60,35000
446,Çankaya,Koru Mahallesi,3.0,1,115,50000
447,Etimesgut,Süvari Mahallesi,3.0,1,120,29500
448,Çankaya,Birlik Mahallesi,3.0,1,130,27500
449,Gölbaşı,Karşıyaka Mahallesi,3.0,1,120,25000
450,Yenimahalle,İnönü Mahallesi,2.0,1,115,55000
451,Çankaya,Kızılırmak Mahallesi,4.0,1,200,90000
452,Çankaya,Konutkent Mahallesi,1.0,1,50,23500
453,Çankaya,Konutkent Mahallesi,1.0,1,50,23000
454,Keçiören,Etlik Mahallesi,2.0,1,110,20000
455,Keçiören,Esertepe Mahallesi,2.0,1,110,20000
456,Yenimahalle,Kentkoop Mahallesi,2.0,1,90,25000
457,Çankaya,Anıttepe Mahallesi,1.0,1,60,35000
